DateTime, Status, PartCt, PartCon, BL, BLTH, STD, P, TofP, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,PumpLife_hrs, BL_Start, TH_Mult, nbins, logmin, logmax, Skip_Save, MinPeakPts,MaxPeakPts, RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99
1636650796.438,1,609,251.32,2159,2184,8.39,848.33,12.59,2.42,306.00,41.19,511.00,1397.00,14.34,12.69,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,17,19,25,12,20,14,19,16,20,12,13,15,12,12,15,10,10,16,15,14,13,6,9,7,8,4,4,7,4,2,8,2,7,2,2,1,1,4,3,4,3,0,1,1,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650797.438,1,583,198.55,2159,2185,8.88,848.17,12.59,2.94,306.00,41.19,514.00,1396.00,14.43,12.86,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,28,22,27,14,20,23,9,9,18,11,18,21,16,15,10,13,8,12,13,6,5,10,7,9,5,4,6,7,4,8,4,2,1,3,6,10,3,2,0,1,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650798.438,1,581,128.59,2157,2185,9.38,848.16,12.58,4.52,306.00,41.19,513.00,1396.00,14.34,12.94,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,17,12,17,19,15,18,15,16,18,20,16,12,20,9,14,10,16,8,5,14,10,10,10,7,3,9,4,5,5,5,6,3,8,2,2,6,4,5,3,2,1,2,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650799.437,1,574,231.51,2158,2187,9.57,848.27,12.58,2.48,307.00,41.24,513.00,1395.00,14.16,13.07,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,22,10,19,15,19,21,13,15,19,12,16,15,12,21,8,12,11,11,16,7,9,7,9,10,8,7,3,4,2,6,4,7,3,3,3,4,3,6,0,4,5,7,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650800.437,1,583,143.56,2158,2187,9.62,848.28,12.58,4.06,305.00,41.28,514.00,1393.00,14.25,13.13,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,24,19,27,15,16,21,15,15,17,10,12,14,12,17,17,11,15,7,11,13,6,12,7,7,5,4,5,6,10,4,5,6,6,0,2,7,3,2,2,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650801.438,1,594,230.43,2159,2187,9.23,848.17,12.57,2.58,306.00,41.19,515.00,1395.00,14.16,12.83,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,20,21,19,16,16,12,19,18,20,17,17,15,14,23,13,12,8,12,8,16,15,10,10,6,8,4,8,6,4,7,6,7,2,3,4,2,4,5,3,4,5,0,2,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1636650802.438,1,617,201.44,2158,2184,8.74,848.26,12.57,3.06,308.00,41.19,513.00,1397.00,14.07,12.92,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,25,12,21,12,13,14,19,8,22,11,15,15,18,7,9,14,12,13,11,11,12,9,13,5,3,4,4,3,13,5,6,3,2,3,2,3,3,0,0,1,3,2,3,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1636650803.438,1,544,129.47,2158,2185,8.90,848.23,12.57,4.20,307.00,41.19,508.00,1395.00,14.34,13.11,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,27,26,29,16,20,14,24,10,21,16,18,15,14,14,15,13,7,11,8,5,7,7,7,5,8,6,6,7,3,3,4,4,2,7,1,1,3,4,1,6,2,2,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650804.438,1,605,259.46,2158,2188,9.98,848.19,12.57,2.33,305.00,41.24,514.00,1397.00,14.07,12.72,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,25,22,20,22,18,14,19,13,15,17,11,16,21,12,15,10,14,13,13,8,11,11,5,7,4,6,11,6,10,7,11,1,10,6,4,0,9,3,0,3,6,3,0,2,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1636650805.438,1,662,203.08,2158,2184,8.74,848.11,12.57,3.26,307.00,41.24,515.00,1394.00,14.16,12.90,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,20,18,12,28,25,12,16,12,15,9,8,9,11,10,19,13,12,9,14,6,6,7,9,7,4,6,8,9,6,5,6,1,3,8,2,2,6,2,3,3,4,6,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
